bone morphogenetic protein signaling pathway,tumor suppressor gene.,electrochemical gradient establishment,blood vessel maturation,defense against infection,bone morphogenetic protein signaling
regulation of cell growth and proliferation,receptor clustering,mrna regulation,channel activity,protein kinase a localization,smoothened signaling pathway modulation
ctf18 rfc-like complex,scaffolding protein function,u5 snrnp,gamma-delta intraepithelial t cell differentiation,u6 snrnp,u1 snrnp
k48-linked ubiquitination,eif2 complex assembly,methyl/ethyl malonyl-coa decarboxylase activity,k63-linked ubiquitination,coenzyme q10 biosynthesis,homocysteine catabolic process
u5 snrnp,scaffolding protein function,ctf18 rfc-like complex,gamma-delta intraepithelial t cell differentiation,all-trans-retinol 13,spliceosome complex assembly
scaffolding protein function,u5 snrnp,methyl/ethyl malonyl-coa decarboxylase activity,ubiquinol to cytochrome c,ctf18 rfc-like complex,gamma-delta intraepithelial t cell differentiation
cullin 3 complex,growth plate cartilage development,imprinting,smoothened signaling pathway modulation,mrna destabilization,mrna degradation
alcohol dehydrogenase (nad+) activity,methyl/ethyl malonyl-coa decarboxylase activity,ubiquinol to cytochrome c,phosphatidylethanolamine biosynthetic process,methylmalonyl-coa epimerase activity,2-dioxygenase activity
gamma-delta intraepithelial t cell differentiation,solute:inorganic anion antiporter activity,methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,cyclic gmp phosphodiesterase activity,extrinsic apoptotic signaling pathway regulation
mrna decay activator,6-dehydratase activity,cytoplasmic ribonucleoprotein granule association,type ii interferon receptor activity,alpha-n-acetylgalactosaminide alpha-2,serine/threonine-protein phosphatase activity
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,phosphatidylethanolamine biosynthetic process,k48-linked ubiquitination,glutathione-disulfide reductase (nadph) activity,spliceosome
chromocenter,regulation of ovulation,regulation of ketone biosynthetic process,peptidyl-threonine phosphorylation,phosphoinositide phospholipase c activity,interleukin-8 binding
mrna metabolic process,smoothened signaling pathway modulation,cullin 3 complex,receptor internalization,receptor clustering regulation,mrna regulation
heme synthesis,linear ubiquitin chain assembly,glutathione metabolism,camp-activated cation channel activity,gluconeogenesis,rrna synthesis
pyrroline-5-carboxylate reductase activity,glutathione-disulfide reductase (nadph) activity,histone h2axs140 phosphatase activity,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,rna polymerase ii ctd isomerase activity,secretory granule location
pathological condition,response to nutrient levels,membrane depolarization during sa node cell action potential,pathogen lysis,cell projection,defense against infection
choline catabolic process,cellular response to amine stimulus,type i interferon receptor binding,cytoplasmic microtubule,vesicle tethering to endoplasmic reticulum,protein-n-terminal asparagine amidohydrolase activity
tumor suppressor gene regulation,tumor type association,tumor suppressor gene expression,nurd complex,tumor cell adaptation,tumor suppressor protein interaction
cancer development (context-dependent),tissue homeostasis,serotonin biosynthesis,u2 snrnp,hif-1α signaling,coagulation factor viii binding
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,alcohol dehydrogenase (nad+) activity,phosphatidylethanolamine biosynthetic process,k48-linked ubiquitination,methylmalonyl-coa epimerase activity
regulation of insulin secretion involved in cellular response to glucose stimulus,regulation of immune response to tumor cell,lipoprotein lipase activator activity,nerve growth factor receptor binding,bone morphogenesis,mitochondrial respirasome assembly
regulation of feeding behavior,mucin-type glycoprotein,parturition,mrna stability regulation,regulation of blood pressure,regulation of heart rate
mrna degradation,imprinting,tumor type association,electrochemical gradient establishment,cell growth,tumor suppressor gene regulation
mrna degradation,mitochondrial matrix,tumor type association,imprinting,wd repeat,mit domain binding
glucose-1,regulation of synaptic activity,regulation of neuronal synaptic plasticity,thiolester hydrolase activity,zyxin,leukotriene metabolism
gamma-delta intraepithelial t cell differentiation,myo-inositol transmembrane transporter activity,methyl/ethyl malonyl-coa decarboxylase activity,dol-p-man:man(5)glcnac(2)-pp-dol alpha-1,solute:inorganic anion antiporter activity,scaffolding protein function
cytokine signaling inhibition,spliceosomal complex disassembly,kynurenine 3-monooxygenase activity,aldehyde dehydrogenase (nad+) activity,immune cell development,methylmalonyl-coa epimerase activity
choline catabolic process,tap complex binding,vesicle tethering to endoplasmic reticulum,gamma-delta t cell activation,protein-rna sequence-specific adaptor activity,response to hormone
phospholipid transfer activity,thiolester hydrolase activity,serotonin signaling pathway,zyxin,rotational mechanism,wnt signaling
methyl/ethyl malonyl-coa decarboxylase activity,scaffolding protein function,u5 snrnp,eif2 complex assembly,ubiquinol to cytochrome c,k48-linked ubiquitination
regulation of systemic arterial blood pressure by vasopressin,metabolic adaptation,detection of chemical stimulus,mrna destabilization,natural killer cell inhibitory signaling pathway,poorly characterized
regulation of synaptic activity,cholinesterase activity,thiolester hydrolase activity,phospholipid transfer activity,zyxin,regulation of immune response to tumor cell
tumor microenvironment adaptation,tumor suppressor gene regulation,tumor type association,glucose-1,regulation of immune response to tumor cell,thiolester hydrolase activity
biotin ligase activity,biomineral tissue development,biomineralization,innate immunity,tight junction,ligand binding
cullin 3 complex,mrna destabilization,growth plate cartilage development,mrna regulation,smoothened signaling pathway modulation,poorly characterized
gamma-delta intraepithelial t cell differentiation,myo-inositol transmembrane transporter activity,ctf18 rfc-like complex,solute:inorganic anion antiporter activity,phosphatidylethanolamine biosynthetic process,scaffolding protein function
eif2 complex assembly,methyl/ethyl malonyl-coa decarboxylase activity,k48-linked ubiquitination,ketone body catabolic process,kinetochore association,oxidized purine nucleobase lesion dna n-glycosylase activity
udp-d-xylose:beta-d-glucoside alpha-1,5'-(n(7)-methylguanosine 5'-triphospho)-[mrna] hydrolase activity,5'-(n(7)-methyl 5'-triphosphoguanosine)-[mrna] diphosphatase activity,rab6-interacting golgin,all-trans retinal 3,dgc complex
histone h2axs140 phosphatase activity,glutathione-disulfide reductase (nadph) activity,phospholipid biosynthetic process,secretory granule location,pyrroline-5-carboxylate reductase activity,aldose 1-epimerase activity
'de novo' amp synthesis,spliceosomal complex assembly,'de novo' purine biosynthesis,spliceosome complex assembly,'de novo' imp synthesis,'de novo' gmp synthesis
ubiquinol to cytochrome c,myo-inositol transmembrane transporter activity,gamma-delta intraepithelial t cell differentiation,phosphatidylethanolamine biosynthetic process,ctf18 rfc-like complex,methyl/ethyl malonyl-coa decarboxylase activity
cytoplasmic dynein complex,gamma-delta t cell activation,cytoplasmic pattern recognition receptor signaling pathway,adenine-thymine-rich dna binding,aldehyde dehydrogenase [nad(p)+] activity,choline catabolic process
lipid hydroperoxide reduction,regulation of synaptic activity,regulation of immune response to tumor cell,protein localization to site of double-strand break,regulation of axonogenesis,regulation of neuronal synaptic plasticity
glutathione-disulfide reductase (nadph) activity,pyrroline-5-carboxylate reductase activity,immune cell development,spliceosomal complex disassembly,histone h2axs140 phosphatase activity,epithelial expression
interleukin-20 binding,choline catabolic process,vesicle tethering to endoplasmic reticulum,vesicle docking,interleukin-8 binding,insulin stimulus
coenzyme q10 biosynthesis,phospholipid biosynthetic process,rdna heterochromatin formation,cilium assembly negative regulation,aldose 1-epimerase activity,myo-inositol transport
triose-phosphate isomerase activity,nucleotide-excision repair,ecm interaction,multi-pass translocon complex,costimulatory molecule function,adenine-guanine mispair recognition
receptor internalization,cell junction assembly,receptor internalization regulation,cullin 3 complex,hormone activity,mrna metabolic process
u1 snrnp,scaffolding protein function,myo-inositol transmembrane transporter activity,u5 snrnp,gamma-delta intraepithelial t cell differentiation,aldo-keto reductase (nadph) activity
electrochemical gradient establishment,mrna localization,mrna catabolism,regulation of systemic arterial blood pressure by vasopressin,cell surface,cell projection assembly
'de novo' pyrimidine nucleobase biosynthetic process,solute:inorganic anion antiporter activity,gamma-delta intraepithelial t cell differentiation,embryonic brain development,retrograde vesicle-mediated transport,corvet complex
protein localization to kinetochore,protein localization to cell-cell junction,lipid mediator sensing,protein trafficking,protein asparagine 3-dioxygenase activity,protein catabolic process at postsynapse
u5 snrnp,scaffolding protein function,methyl/ethyl malonyl-coa decarboxylase activity,k48-linked ubiquitination,retinal rod cell development,u1 snrnp
cancer related alteration in expression,cancer invasion,cancer-related protein expression,bone morphogenetic protein signaling pathway,lipid droplet fusion,cellular response to stimuli (insulin
neuron projection morphogenesis,neurodevelopmental impact,demethylation,axoneme assembly,histone h2ak15 ubiquitination,vesicle cargo loading
cytoplasmic ribonucleoprotein granule association,chromocenter,protein-n-terminal asparagine amidohydrolase activity,regulation of ovulation,cytoplasmic ribonucleoprotein granule localization,membrane protein proteolysis
u5 snrnp,scaffolding protein function,ctf18 rfc-like complex,gamma-delta intraepithelial t cell differentiation,solute:inorganic anion antiporter activity,spliceosomal complex localization
alcohol dehydrogenase (nad+) activity,methyl/ethyl malonyl-coa decarboxylase activity,ubiquinol to cytochrome c,phosphatidylethanolamine biosynthetic process,methylmalonyl-coa epimerase activity,myo-inositol transmembrane transporter activity
chloride channel activity,immune tolerance,endoplasmic reticulum unfolded protein response,il-1β production,toll signaling pathway,double-stranded dna endonuclease activity
electrochemical gradient establishment,tumor suppressor gene.,cell projection formation,defense against infection,tumor type association,blood vessel maturation
glutathione-disulfide reductase (nadph) activity,histone h2axs140 phosphatase activity,secretory granule location,pyrroline-5-carboxylate reductase activity,phospholipid biosynthetic process,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity
protein localization to site of double-strand break,lipid hydroperoxide reduction,response to activity,lipoprotein lipase inhibition,lipid homeostasis disruption,mitochondrial respirasome assembly
myo-inositol transmembrane transporter activity,dol-p-man:man(5)glcnac(2)-pp-dol alpha-1,phosphatidylethanolamine biosynthetic process,methyl/ethyl malonyl-coa decarboxylase activity,gamma-delta intraepithelial t cell differentiation,secretory granule location
udp-d-xylose:beta-d-glucoside alpha-1,all-trans retinal 3,gamma-delta intraepithelial t cell differentiation,dgc complex,corvet complex,retrotransposon activity
wnt signaling,gliogenesis,t cell activation,cellular movement,tumor microenvironment adaptation,zyxin
glucose-1,tumor microenvironment adaptation,tumor-suppressive effect.,tumor suppressor gene regulation,zyxin,organelle biogenesis
electrochemical gradient establishment,defense against infection,cell projection formation,neural tube development,cell projection association,tumor suppressor gene.
bone morphogenetic protein signaling pathway,tumor type association,tumor suppressor gene.,electrochemical gradient establishment,tumor suppressor gene regulation,electrolyte balance
glutathione-disulfide reductase (nadph) activity,methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,kinetochore association,secretory granule location,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity
phospholipid biosynthetic process,coenzyme q10 biosynthesis,'de novo' nad biosynthetic process from tryptophan,store-operated calcium entry,rdna heterochromatin formation,ketone body catabolism
methyl/ethyl malonyl-coa decarboxylase activity,myo-inositol transmembrane transporter activity,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,glutathione-disulfide reductase (nadph) activity,methylmalonyl-coa epimerase activity,phosphatidylethanolamine biosynthetic process
membrane curvature sensor activity,cellular iron homeostasis,circadian rhythms,cellular architecture maintenance,skeletal homeostasis,anaphase-promoting complex-dependent catabolic process
glutathione-disulfide reductase (nadph) activity,secretory granule location,methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,coenzyme q10 biosynthesis,k48-linked ubiquitination
u5 snrnp,scaffolding protein function,spliceosome complex assembly,ctf18 rfc-like complex,all-trans-retinol 13,spliceosome assembly
gamma-delta intraepithelial t cell differentiation,solute:inorganic anion antiporter activity,myo-inositol transmembrane transporter activity,dgc complex,ctf18 rfc-like complex,retrotransposon activity
neurodevelopmental impact,protein localization to centrosome,protein localization to plasma membrane regulation,protein localization to plasma membrane,protein localization to membrane,protein misfolding.
methyl/ethyl malonyl-coa decarboxylase activity,glutathione-disulfide reductase (nadph) activity,phosphatidylethanolamine biosynthetic process,alcohol dehydrogenase (nad+) activity,eif2 complex assembly,k48-linked ubiquitination
glutathione-disulfide reductase (nadph) activity,pyrroline-5-carboxylate reductase activity,phosphatidylethanolamine biosynthetic process,spliceosomal complex disassembly,alcohol dehydrogenase (nad+) activity,aldehyde dehydrogenase (nad+) activity
positive regulation by rna polymerase ii,rho gdp-dissociation inhibitor binding,non-coding rna transcription,autonomic nervous system development,non-coding rna regulation,fanconi anemia nuclear complex
solute:inorganic anion antiporter activity,gamma-delta intraepithelial t cell differentiation,ecm disassembly,dgc complex,epsilon dna polymerase complex,antigen processing and presentation of peptide antigen via mhc class i
receptor tyrosine-protein kinase activity,receptor clustering regulation,cullin 3 complex,receptor protein-tyrosine kinase activity,mrna metabolic process,protein serine/threonine kinase activity regulation
glutathione-disulfide reductase (nadph) activity,immune cell development,kinetochore association,choline catabolic process,cleavage/polyadenylation pathway,spliceosomal complex disassembly
myo-inositol transmembrane transporter activity,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,methyl/ethyl malonyl-coa decarboxylase activity,methylmalonyl-coa epimerase activity,ubiquinol to cytochrome c,alcohol dehydrogenase (nad+) activity
cancer development potential,amide biosynthetic process,fatty acid biosynthetic process,protein serine/threonine/tyrosine kinase activity,regulation of systemic arterial blood pressure by vasopressin,regulation of heart rate by cardiac conduction
protein localization to kinetochore,protein localization to cell-cell junction,protein localization to cell surface,protein localization to centrosome,protein catabolic process at postsynapse,microtubule depolymerization
protein localization to organelle,protein localization to site of double-strand break,protein localization to centrosome,protein localization to cell surface,protein catabolic process at postsynapse,protein localization to plasma membrane regulation
gamma-delta intraepithelial t cell differentiation,solute:inorganic anion antiporter activity,alcohol dehydrogenase (nad+) activity,methyl/ethyl malonyl-coa decarboxylase activity,histone modification (h3s10,serine/threonine protein kinase activity
methyl/ethyl malonyl-coa decarboxylase activity,phosphatidylethanolamine biosynthetic process,spliceosome,glutathione-disulfide reductase (nadph) activity,k48-linked ubiquitination,eif2 complex assembly
choline catabolic process,cytoplasmic ribonucleoprotein granule localization,tap complex binding,gamma-delta t cell activation,mitotic cell cycle progression,response to hormone
eif2 complex assembly,spliceosomal complex assembly,antigen processing and presentation via mhc class ii,spliceosomal complex localization,solute:inorganic anion antiporter activity,immune regulation (t cell)
fsh secretion suppression,3'(2'),mrna degradation,nrf2 interaction,3',thiamine triphosphate phosphatase activity
tumor suppressor gene regulation,organelle biogenesis,tumor type association,tumor suppressor gene expression,nurd complex,tumor recognition
tumor type association,tumor suppressor gene regulation,imprinting,mrna degradation,tumor suppressor gene expression,nurd complex
u5 snrnp,scaffolding protein function,gamma-delta intraepithelial t cell differentiation,ctf18 rfc-like complex,u6 snrnp,solute:inorganic anion antiporter activity
bcl2 interaction,serine/threonine protein kinase activity,cytokine signaling inhibition,alcohol dehydrogenase (nad+) activity,solute:inorganic anion antiporter activity,ecm interaction
defense against infection,cell projection assembly,electrochemical gradient establishment,cell projection association,pathogen lysis,response to nutrient levels
histone h2axs140 phosphatase activity,phospholipid biosynthetic process,glutathione-disulfide reductase (nadph) activity,mast cell activation,pyrroline-5-carboxylate reductase activity,histone h2axy142 phosphatase activity
double-stranded dna exonuclease activity,peptide-n4-(n-acetyl-beta-glucosaminyl)asparagine amidase activity,cxcr chemokine receptor binding,5'-cyclic-amp phosphodiesterase activity,nucleolar ribonuclease p complex,3-mercaptopyruvate sulfurtransferase activity
u5 snrnp,scaffolding protein function,gamma-delta intraepithelial t cell differentiation,eif2 complex assembly,methyl/ethyl malonyl-coa decarboxylase activity,u6 snrnp
gamma-delta intraepithelial t cell differentiation,myo-inositol transmembrane transporter activity,methyl/ethyl malonyl-coa decarboxylase activity,scaffolding protein function,phosphatidylethanolamine biosynthetic process,ubiquinol to cytochrome c
glutathione-disulfide reductase (nadph) activity,eif2 complex assembly,kinetochore association,methyl/ethyl malonyl-coa decarboxylase activity,k48-linked ubiquitination,oxidized pyrimidine nucleobase lesion dna n-glycosylase activity
gamma-delta intraepithelial t cell differentiation,solute:inorganic anion antiporter activity,dgc complex,all-trans retinal 3,u5 snrnp,ctf18 rfc-like complex
u5 snrnp,scaffolding protein function,ctf18 rfc-like complex,methyl/ethyl malonyl-coa decarboxylase activity,u6 snrnp,eif2 complex assembly
mrna degradation,tumor type association,3',3'(2'),imprinting,fsh secretion suppression
regulation of protein lipidation,regulation of protein stability,udp-d-xylose:beta-d-glucoside alpha-1,5'-(n(7)-methylguanosine 5'-triphospho)-[mrna] hydrolase activity,calcitonin gene-related peptide binding,regulation of protein degradation
cancer invasion,carbohydrate:proton symporter activity,pathogen recognition,defense against infection,inositol polyphosphate-5-phosphatase activity,wnt signal inhibition
tumor suppressor gene regulation,tumor type association,organelle biogenesis,tumor suppressor gene expression,nurd complex,tumor recognition
mrna decay activator,regulation of protein degradation,5'-(n(7)-methylguanosine 5'-triphospho)-[mrna] hydrolase activity,5'-(n(7)-methyl 5'-triphosphoguanosine)-[mrna] diphosphatase activity,insulin-like growth factor binding,nadh dehydrogenase activity
glutathione-disulfide reductase (nadph) activity,methyl/ethyl malonyl-coa decarboxylase activity,secretory granule location,extrinsic apoptotic signaling pathway regulation,pyrroline-5-carboxylate reductase activity,methylmalonyl-coa epimerase activity
tumor type association,tumor suppressor gene regulation,nurd complex,tumor suppressor gene expression,mrna degradation,tumor suppressor gene.
electrochemical gradient establishment,mrna degradation,tumor type association,cell projection formation,imprinting,cell surface
biomineral tissue development,dual specificity phosphatase activity,histone h2ak15 ubiquitination,eosinophil recruitment,multicellular organismal stress response,striated muscle cell differentiation
coenzyme q10 biosynthesis,cilium assembly negative regulation,k48-linked ubiquitination,myo-inositol transport,aldose 1-epimerase activity,ketone body catabolism
lipid hydroperoxide reduction,protein localization to site of double-strand break,response to activity,membrane repolarization during action potential,membrane depolarization during action potential,limb morphogenesis
tumor type association,electrochemical gradient establishment,tumor suppressor gene regulation,mrna degradation,tumor suppressor gene expression,tumor suppressor gene.
myo-inositol transmembrane transporter activity,phosphatidylethanolamine biosynthetic process,gamma-delta intraepithelial t cell differentiation,ctf18 rfc-like complex,methylmalonyl-coa epimerase activity,ubiquinol to cytochrome c
protein misfolding,tight junction,histone h2ak15 ubiquitination,biomineral tissue development,striated muscle cell differentiation,postsynaptic endocytic zone
udp-d-xylose:beta-d-glucoside alpha-1,spliceosome assembly,spliceosome complex assembly,'de novo' amp synthesis,pkr/eifalpha signaling,rab6-interacting golgin
eif2 complex assembly,coenzyme q10 biosynthesis,cellular response to prostaglandin d stimulus,k48-linked ubiquitination,aldose 1-epimerase activity,glutathione-disulfide reductase (nadph) activity
chromocenter,regulation of ovulation,cytoplasmic ribonucleoprotein granule association,mucin-type glycoprotein,membrane protein proteolysis,dynein axonemal particle component
glutathione-disulfide reductase (nadph) activity,methyl/ethyl malonyl-coa decarboxylase activity,secretory granule location,phosphatidylethanolamine biosynthetic process,eif2 complex assembly,cellular response to prostaglandin d stimulus
spliceosomal complex localization,u5 snrnp,spliceosomal complex assembly,scaffolding protein function,myo-inositol transport,spliceosomal complex binding
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,k48-linked ubiquitination,alcohol dehydrogenase (nad+) activity,gamma-delta intraepithelial t cell differentiation,extrinsic apoptotic signaling pathway regulation
imprinting,mrna degradation,skeletal development,cell growth,tumor adaptation,cell junction localization
scaffolding protein function,u5 snrnp,ctf18 rfc-like complex,u1 snrnp,spliceosomal complex localization,gamma-delta intraepithelial t cell differentiation
protein misfolding,biomineral tissue development,tight junction,biotin ligase activity,histone h2ak15 ubiquitination,biomineralization
serine/threonine-protein phosphatase activity,thiamine pyrophosphate transmembrane transport,3'-phosphoadenosine 5'-phosphosulfate transmembrane transport,immune system signaling pathway,3-d-xylosyltransferase activity,alpha-n-acetylgalactosaminide alpha-2
cancer-associated genomic instability,phagocytic vesicle maturation,mapk scaffold activity,interferon signaling (isg15 conjugation),interstrand crosslink repair,nonsense-mediated mrna decay
gliogenesis,t cell mediated immunity,tnf signaling,cellular movement,cpnpg substrates,h2bs36
mitochondrial matrix,mit domain binding,rab6-interacting golgin,complex iv assembly,mrna degradation,imprinting
mrna metabolic process,smoothened signaling pathway modulation,cullin 3 complex,receptor internalization regulation,receptor internalization,mrna regulation
serine/threonine protein kinase activity,histone h3 demethylase activity,rna polymerase ii ctd heptapeptide repeat p6 isomerase activity,5'-cyclic-amp phosphodiesterase activity,phosphatidylethanolamine biosynthetic process,cytoplasmic stress granule localization
solute:inorganic anion antiporter activity,gamma-delta intraepithelial t cell differentiation,myo-inositol transmembrane transporter activity,dgc complex,u6 snrnp,histone modification (h3s10
methyl/ethyl malonyl-coa decarboxylase activity,glutathione-disulfide reductase (nadph) activity,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,coenzyme q10 biosynthesis,diphosphomevalonate decarboxylase activity,myo-inositol transmembrane transporter activity
tumor type association,electrochemical gradient establishment,bone morphogenetic protein signaling pathway,tumor suppressor gene.,tumor suppressor gene regulation,electrolyte balance
endoplasmic reticulum tubular network formation,insulin-like growth factor binding,golgi apparatus mannose trimming,mutlalpha complex binding,5'-cyclic-gmp phosphodiesterase activity,insulin-like growth factor receptor binding
nucleoside metabolism,er-associated degradation,camp biosynthesis,inositol monophosphate phosphatase activity,metastasis (implied),deoxyribonucleotide metabolism
glutathione-disulfide reductase (nadph) activity,histone h2axs140 phosphatase activity,secretory granule location,pyrroline-5-carboxylate reductase activity,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,phosphatidylethanolamine biosynthetic process
gamma-delta intraepithelial t cell differentiation,solute:inorganic anion antiporter activity,dgc complex,all-trans retinal 3,udp-d-xylose:beta-d-glucoside alpha-1,retrotransposon activity
receptor internalization regulation,receptor clustering,regulation of ovulation,receptor internalization,regulation of cell growth and proliferation,mrna metabolic process
tumor type association,mrna degradation,tumor suppressor gene regulation,electrochemical gradient establishment,imprinting,tumor suppressor gene expression
tumor suppressor gene regulation,tumor type association,tumor suppressor gene expression,imprinting,nurd complex,mrna degradation
u5 snrnp,spliceosomal complex assembly,spliceosomal complex localization,solute:inorganic anion antiporter activity,eif2 complex assembly,antigen processing and presentation via mhc class ii
all-trans retinal 3,gamma-delta intraepithelial t cell differentiation,corvet complex,udp-d-xylose:beta-d-glucoside alpha-1,retrotransposon activity,dgc complex
choline catabolic process,protein-rna sequence-specific adaptor activity,vesicle tethering to endoplasmic reticulum,phagophore assembly site membrane localization,neurodevelopment disruption,gamma-delta t cell activation
eif2 complex assembly,gamma-delta intraepithelial t cell differentiation,solute:inorganic anion antiporter activity,methyl/ethyl malonyl-coa decarboxylase activity,keratin filament cross-linking,scaffolding protein function
eif2 complex assembly,quaternary ammonium group transport,cytosolic [4fe-4s] assembly targeting complex,keratin filament cross-linking,solute:inorganic anion antiporter activity,holliday junction resolvase activity
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,solute:inorganic anion antiporter activity,gamma-delta intraepithelial t cell differentiation,phosphatidylethanolamine biosynthetic process,myo-inositol transmembrane transporter activity
mrna degradation,pathogen defense,mrna catabolism,copii-coated vesicle cargo loading,3m complex,cell surface
protein localization to organelle,protein localization to centrosome,protein localization to site of double-strand break,protein localization to cell surface,protein catabolic process at postsynapse,protein localization to plasma membrane regulation
imprinting,mrna degradation,skeletal development,tumor type association,nucleus,wd repeat
methyl/ethyl malonyl-coa decarboxylase activity,gamma-delta intraepithelial t cell differentiation,methylmalonyl-coa epimerase activity,extrinsic apoptotic signaling pathway regulation,phosphatidylethanolamine biosynthetic process,eif2 complex assembly
scaffolding protein function,u5 snrnp,methyl/ethyl malonyl-coa decarboxylase activity,gamma-delta intraepithelial t cell differentiation,u1 snrnp,eif2 complex assembly
cullin 3 complex,nadh dehydrogenase activity,regulation of protein degradation,regulation of microtubule nucleation,5'-(n(7)-methylguanosine 5'-triphospho)-[mrna] hydrolase activity,5'-(n(7)-methyl 5'-triphosphoguanosine)-[mrna] diphosphatase activity
actin capping,neurodevelopmental disorders,interleukin signaling,histone ubiquitination,choline catabolic process,neurodevelopment disruption
gamma-delta intraepithelial t cell differentiation,solute:inorganic anion antiporter activity,methylmalonyl-coa epimerase activity,methyl/ethyl malonyl-coa decarboxylase activity,extrinsic apoptotic signaling pathway regulation,phosphatidylethanolamine biosynthetic process
mitochondrial matrix,complex iv assembly,udp-d-xylose:beta-d-glucoside alpha-1,mit domain binding,ubiquitin recycling,rab6-interacting golgin
scaffolding protein function,u5 snrnp,ctf18 rfc-like complex,ubiquinol to cytochrome c,methyl/ethyl malonyl-coa decarboxylase activity,u1 snrnp
cullin 3 complex,nadh dehydrogenase activity,pore-forming,receptor internalization,cell junction assembly,regulation of microtubule nucleation
neurodevelopmental abnormalities,ligand binding,developmental patterning,chemorepulsion,protein localization to plasma membrane regulation,biomineralization
eif2 complex assembly,quaternary ammonium group transport,spliceosomal complex disassembly,kinetochore association,methyl/ethyl malonyl-coa decarboxylase activity,cytosolic [4fe-4s] assembly targeting complex
protein localization to kinetochore,bone morphogenetic protein signaling,protein localization to cell-cell junction,lipid storage regulation,lipid homeostasis disruption,microtubule polymerization regulation
protein localization to kinetochore,protein localization to site of double-strand break,mitochondrial respirasome assembly,lipid homeostasis disruption,protein localization to plasma membrane regulation,protein localization to cell surface
scaffolding protein function,u5 snrnp,methyl/ethyl malonyl-coa decarboxylase activity,ubiquinol to cytochrome c,gamma-delta intraepithelial t cell differentiation,ctf18 rfc-like complex
gamma-delta intraepithelial t cell differentiation,myo-inositol transmembrane transporter activity,phosphatidylethanolamine biosynthetic process,histone modification (h3s10,dol-p-man:man(5)glcnac(2)-pp-dol alpha-1,solute:inorganic anion antiporter activity
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,phosphatidylethanolamine biosynthetic process,glutathione-disulfide reductase (nadph) activity,k48-linked ubiquitination,alcohol dehydrogenase (nad+) activity
eosinophil recruitment,dual specificity phosphatase activity,epididymis development,synapse structure maintenance,hops complex,multicellular organismal stress response
mrna degradation,tumor type association,imprinting,3',wd repeat,nurd complex
mrna degradation,tumor type association,tumor suppressor gene regulation,nurd complex,wd repeat,imprinting
tumor type association,tumor suppressor gene regulation,nurd complex,tumor suppressor gene expression,mrna degradation,3'
coenzyme q10 biosynthesis,cilium assembly negative regulation,homocysteine catabolic process,rdna heterochromatin formation,k48-linked ubiquitination,ketone body catabolism
response to alkaloid,protein-cysteine s-palmitoyltransferase activity,protein serine/threonine/tyrosine kinase activity,cardiac muscle cell action potential,fatty acid biosynthetic process,response to growth factor
extrinsic apoptotic signaling pathway regulation,methylmalonyl-coa epimerase activity,methyl/ethyl malonyl-coa decarboxylase activity,alcohol dehydrogenase (nad+) activity,phosphatidylethanolamine biosynthetic process,ecm structural constituent
pathological condition,membrane-bound organelle localization,membrane depolarization during sa node cell action potential,response to nutrient levels,cellular response to stimuli (insulin,elongation
scaffolding protein function,u5 snrnp,coenzyme q10 biosynthesis,u1 snrnp,erad pathway regulation,spliceosomal complex localization
phosphatidylethanolamine biosynthetic process,methyl/ethyl malonyl-coa decarboxylase activity,glutathione-disulfide reductase (nadph) activity,secretory granule location,pyrroline-5-carboxylate reductase activity,myo-inositol transmembrane transporter activity
regulation of calcium-mediated signaling,regulation of organ growth,regulation of dopamine receptor signaling pathway,mitochondrial atp-gated potassium channel activity,protein deglycosylation,ornithine aminotransferase activity
gamma-delta intraepithelial t cell differentiation,methyl/ethyl malonyl-coa decarboxylase activity,myo-inositol transmembrane transporter activity,ubiquinol to cytochrome c,phosphatidylethanolamine biosynthetic process,alcohol dehydrogenase (nad+) activity
complex iv assembly,ubiquitin recycling,mit domain binding,meiotic cohesin complex,mitosis,nuclear membrane
wd repeat,mrna destabilization,progression,midbody,mrna degradation,plasma cell differentiation
methyl/ethyl malonyl-coa decarboxylase activity,eif2 complex assembly,alcohol dehydrogenase (nad+) activity,ubiquinol to cytochrome c,gamma-delta intraepithelial t cell differentiation,u6 snrnp
tumor suppressor gene regulation,tumor type association,nurd complex,tumor suppressor gene expression,imprinting,mrna degradation
tumor suppressor gene regulation,tumor type association,nurd complex,tumor suppressor gene.,tumor suppressor gene expression,electrolyte balance
